Abigail
Ada
Adela
Adele
Adéle
Adèle
Adelia
Adelina
Adeline
Adelle
Adina
Adna
Adriana
Agnes
Ahlam
Aicha
Aida
Aila
Aina
Aisha
Ajla
Alba
Albina
Alde
Alea
Aleksandra
Alessia
Alexandra
Alexia
Alexis
Alexsandra
Aleyna
Alia
Alice
Alicia
Alicja
Alida
Alina
Aline
Alisa
Alisha
Alissa
Allie
Allis
Alma
Althea
Alva
Alwa
Alvina
Alyssa
Amal
Amalia
Amanda
Amber
Amela
Amelia
Amelie
Amélie
Amie
Amilia
Amina
Amira
Amna
Amy
Anabelle
Anastasia
Anastasija
Andrea
Andréa
Angela
Angelica
Angelika
Angelina
Anisa
Anita
Anja
Anna
Annabella
Annabelle
Anni
Annie
Annika
Antonia
Anya
Aprilia
Ariana
Ariel
Arin
Arina
Arwen
Asia
Asiya
Asma
Asta
Astrid
Athena
Aurora
Ava
Aya
Ayla
Aylin
Azra
Bea
Beata
Beatrice
Belinda
Bella
Belle
Benin
Berfin
Betty
Bianca
Bibbi
Bibi
Billie
Blenda
Bodil
Boel
Bonnie
Britta
Caisa
Cajsa
Camilla
Carla
Carmen
Carolin
Carolina
Caroline
Casandra
Cassandra
Cataleya
Cecilia
Celia
Celina
Celine
Céline
Chanel
Chanelle
Charlie
Charlotta
Charlotte
Chelsea
Chloe
Chloé
Christina
Christine
Cindy
Clara
Claudia
Cleo
Corinne
Cornelia
Dagny
Dahlia
Daisy
Dalia
Dania
Daniela
Daniella
Daria
Dea
Deborah
Delina
Denice
Denise
Desirée
Destiny
Diana
Dila
Dilan
Dilara
Dima
Disa
Dixie
Donia
Donya
Doris
Eda
Edda
Edessa
Edith
Eija
Eira
Ela
Eldana
Eleanor
Elena
Eleonor
Eleonora
Eleonore
Eliana
Elice
Elicia
Elif
Elin
Elina
Eline
Elinor
Elisa
Elisabet
Elisabeth
Elise
Elisia
Elissa
Eliza
Elizabeth
Elize
Ella
Elle
Ellen
Elli
Ellie
Ellinor
Ellinore
Elly
Elma
Elmedina
Elna
Elona
Elsa
Elsie
Elvina
Elvira
Elwira
Ema
Embla
Emeli
Emelia
Emelie
Emely
Emilia
Emilie
Emilija
Emily
Emina
Emma
Emmelie
Emmi
Emmie
Emmy
Emmylou
Emy
Engla
Enja
Enna
Enya
Erica
Erika
Erina
Erna
Erza
Esma
Esmeralda
Esra
Estelle
Esther
Estrid
Ethel
Eva
Evangeline
Evelin
Evelina
Eveline
Evelyn
Evin
Evy
Faiza
Fannie
Fanny
Farah
Fatima
Fatimah
Fatma
Felicia
Felizia
Fia
Fideli
Filippa
Fiona
Florence
Frances
Fredrica
Fredrika
Freija
Freja
Freya
Freyja
Frida
Gabriela
Gabriella
Gabrielle
Gerda
Gina
Greta
Hafsa
Hailey
Hailie
Haley
Halima
Hana
Hanan
Hani
Hanin
Hanna
Hannah
Harriet
Havanna
Havin
Haylie
Hedda
Hedvig
Hedwig
Heidi
Helen
Helena
Helin
Helmi
Henrietta
Hermine
Hiba
Hilda
Hilde
Hilja
Hillevi
Hilma
Hoda
Hollie
Holly
Huda
Ibtisam
Ida
Idun
Ilma
Ilona
Ilse
Iman
Ines
Inez
Ingrid
Iqra
Irem
Irma
Isabel
Isabell
Isabella
Isabelle
Isadora
Isis
Isolde
Isra
Ivy
Iza
Izabel
Izabell
Izabella
Izabelle
Jackie
Jacqueline
Jamie
Jamila
Jana
Janina
Jasmina
Jasmine
Jeanette
Jenna
Jennie
Jennifer
Jenny
Jessica
Jessie
Jessika
Jill
Joanna
Johanna
Jolene
Jolie
Jolin
Jolina
Joline
Joni
Jonna
Josefin
Josefina
Josefine
Josephine
Joy
Judit
Judith
Julia
Julie
Juliette
Junia
Junie
Juno
Kajsa
Karin
Karla
Karolina
Katarina
Katja
Kayla
Kaylee
Kellie
Kelly
Kendra
Kenza
Kerstin
Keyla
Khadija
Kiara
Kim
Kimberly
Kira
Kitty
Kornelia
Kristin
Kristina
Laila
Lamar
Lamija
Lamis
Lana
Lara
Larissa
Laura
Layan
Layla
Lea
Leah
Lee
Leen
Leia
Leiah
Leija
Leila
Lejla
Leona
Leonie
Leonora
Leonore
Lexi
Lexie
Leya
Leyla
Lia
Liana
Lilia
Lilian
Liliana
Lilith
Lilli
Lillian
Lillie
Lilly
Lilo
Lily
Line
Linn
Linnea
Linnéa
Lisen
Livia
Liya
Liza
Lizette
Lola
Lorena
Lorin
Lou
Louisa
Louise
Lovelia
Lovi
Lovina
Lovis
Lovisa
Lucy
Luna
Lycke
Lydia
Lykke
Madeleine
Madelen
Madelene
Madicken
Magda
Magdalena
Maggie
Maia
Maida
Maija
Maja
Majken
Malak
Malin
Malou
Malva
Malvina
Manda
Maram
Margit
Maria
Mariam
Marianne
Marie
Marielle
Marika
Marion
Marta
Martina
Marwa
Mary
Maryam
Maryama
Maryan
Mathilda
Mathilde
Matilda
Matilde
Maxine
Maya
Medina
Meia
Meija
Melanie
Melek
Melina
Melinda
Melisa
Melissa
Melody
Mercedes
Merve
Meryem
Meya
Mia
Micaela
Michaela
Michelle
Mika
Mikaela
Mila
Milea
Milena
Miley
Milla
Millie
Milly
Milou
Mimmi
Minea
Minella
Minelle
Minja
Minnah
Minoo
Minou
Mira
Mirabelle
Miranda
Mirella
Miriam
Mirjam
Mirna
Moa
Mollie
Molly
Mona
Monika
Mumtaz
Munira
Märta
Märtha
Nada
Nadia
Nadin
Nadine
Nadja
Naemi
Naima
Najma
Nancy
Naomi
Narin
Natali
Natalia
Natalie
Natasha
Nathalie
Nawal
Naya
Nea
Neah
Nejla
Nelia
Nell
Nella
Nelli
Nellie
Nelly
Nemi
Nicki
Nicole
Nicolina
Nike
Niki
Nikita
Nikki
Nikola
Nikolina
Nilla
Nina
Ninni
Nisa
Noelia
Noelle
Nomi
Noomi
Noor
Nor
Nora
Norah
Norea
Nour
Nowa
Novalee
Novali
Nova-Li
Novalie
Novelia
Ofelia
Olga
Olivia
Oliwia
Ophelia
Othilia
Otilia
Ottilia
Pamela
Parisa
Patricia
Paula
Paulina
Pauline
Penny
Perla
Pernilla
Petra
Petronella
Philippa
Pia
Polly
Rahaf
Rahma
Rakel
Rana
Rania
Rawan
Rayaan
Razan
Rebecca
Rebecka
Regina
Rio
Rojin
Ronja
Ronya
Rosanna
Roxanna
Ruth
Ruweyda
Sabina
Sabirin
Sabrin
Sabrina
Safa
Safia
Safiya
Sagal
Sahra
Sally
Sama
Samantha
Samira
Samiya
Sana
Sandra
Sandy
Sanja
Sara
Sarah
Sasha
Savannah
Selena
Selin
Selina
Selma
Sham
Shirin
Sibel
Sidra
Sigrid
Siham
Silje
Silvia
Simona
Simone
Siri
Siv
Smilla
Sofi
Sofia
Sofie
Sofija
Solveig
Sonia
Sonja
Sophia
Sophie
Stella
Stephanie
Stina
Sumaya
Sundus
Susanna
Svea
Talia
Tamara
Tania
Tanja
Tanya
Tara
Tasnim
Tekla
Telma
Teodora
Terese
Teresia
Tess
Thea
Thelise
Thelma
Theodora
Therese
Therése
Thilda
Thilde
Thindra
Thyra
Tiffany
Tilda
Tilia
Tillie
Tilly
Tintin
Tora
Tova
Towa
Tove
Towe
Tuwa
Tuva-Li
Tyra
Ulrika
Uma
Unni
Valencia
Valentina
Valeria
Vanesa
Vanessa
Vanja
Vega
Vendela
Wendela
Vera
Wera
Veronica
Veronika
Whilma
Victoria
Viktoria
Wiktoria
Wilda
Vilhelmina
Wilhelmina
Wilja
Villemo
Vilma
Wilma
Yara
Yasmin
Yasmina
Yasmine
Ylva
Yrsa
Yusra
Zaga
Zahra
Zahraa
Zainab
Zandra
Zanna
Zara
Zeinab
Zelda
Zeynep
Zilan
Zoe
Zoé
Zoey
Zuzanna
Åsa
Ängla
